Game,name,release,categories,genres,tags,playtime
575650,Lily's Day Off,2017,Single-player;Steam Achievements;Steam Trading Cards,Adventure,Comedy;Dark Humor;Memes,142
575670,Five Elements,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy,Strategy;Indie;RPG,271
575680,Square n Fair,2017,Single-player;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,200
575690,PARKAN: THE IMPERIAL CHRONICLES,2017,Single-player,Adventure;RPG;Simulation;Strategy,Adventure;RPG;Simulation,0
575700,Fruit Arranger,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual,196
575710,"Jump, Step, Step",2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Leaderboards,Adventure;Indie,Indie;Adventure;Programming,0
575720,Mighty Party,2017,Single-player;Multi-player;MMO;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Adventure;Free to Play;Massively Multiplayer;RPG;Strategy,Free to Play;Card Game;RPG,196
575740,Omega One,2017,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Indie,Action;Indie;Space,341
575750,Magic Box,2017,Single-player;Steam Trading Cards,Adventure;Casual;Indie,Casual;Adventure;Indie,210
575760,Project: R.E.B.O.O.T 2,2017,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Adventure;Indie,214
575770,Dangerous Bullets,2017,Single-player;Steam Trading Cards,Action;Adventure;Indie;RPG,Action;Adventure;Indie,248
575780,Inner silence,2017,Single-player;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Adventure;Indie,214
575800,Arizona Rose and the Pharaohs' Riddles,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Indie;Casual;Strategy,0
575810,４人打ちアクション麻雀 / ACTION MAHJONG,2017,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards,Action;Casual;Indie;Early Access,Early Access;Action;Indie,0
575820,I Hate Running Backwards,2018,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Difficult,0
575830,rooMaze,2017,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Indie;RPG,Adventure;Action;Indie,283
575840,NeverEnd,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Rogue-like,230
575850,Hartacon Tactics,2019,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Includes level editor,Indie;RPG;Strategy,Strategy;RPG;Indie,0
575860,Tomb Joe,2017,Single-player;Steam Achievements;Steam Trading Cards,Action;Adventure;Casual;Indie,Casual;Adventure;Action,252
575870,Call to 10,2017,Single-player;Steam Trading Cards,Action;Indie,Action;Indie;Horror,202
575880,1979 Invasion Earth,2017,Single-player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards,Action;Adventure;Casual;Indie;Strategy,Casual;Indie;Action,0
575890,Katy and Bob Way Back Home,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Strategy,Strategy;Casual,0
575900,Mosaics Galore 2,2018,Single-player;Steam Trading Cards,Casual,Casual;Puzzle;Family Friendly,0
575910,Trump Simulator 2017,2017,Single-player;Steam Trading Cards,Action;Casual;Indie;Simulation,Indie;Casual;Action,200
575920,Felix Jumpman,2017,Single-player;Steam Trading Cards,Action;Casual;Indie,Indie;Casual;Action,241
575940,The Tenth Line,2017,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Indie;RPG,RPG;Indie;Platformer,0
575950,Blood Feed,2017,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;FPS,337
575960,The Wisbey Mystery,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Hidden Object,0
575970,Golem Gates,2018,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Strategy,Strategy;RTS;Card Game,85
575990,Knot,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie;Simulation,Casual;Indie;Simulation,0
576010,SQR🔲,2017,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Indie;Casual;Puzzle,669
576020,Final Theosis,2017,Single-player;Steam Achievements;Steam Trading Cards,Violent;Adventure;Casual,Adventure;Casual;Violent,0
576030,MHRD,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;Simulation,Indie;Simulation;Programming,698
576050,Other Worlds India,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Action;Indie;Casual,265
576060,Faraway Islands,2017,Single-player,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,0
576100,Unknown Pharaoh,2017,Single-player,Adventure;Casual;Indie,Adventure;Indie;Casual,0
576110,Where is my Brain!?,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Indie,Action;Casual;Indie,0
576120,Purgatory II,2018,Single-player,Adventure;Indie;Strategy,Strategy;Adventure;Indie,219
576130,State of Anarchy: Master of Mayhem,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,277
576160,A Long Road Home,2017,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie,Adventure;Casual;Indie,413
576260,Winds Of Trade,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Simulation;Strategy,Simulation;Strategy;Trading,0
576280,Arena Hero,2017,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie;RPG;Strategy,Action;Indie;RPG,0
576290,Huckleberry Falls,2018,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;RPG;Strategy,Strategy;Indie;RPG,0
576310,Oracle,2017,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie;Simulation,Adventure;Indie;Walking Simulator,110
576320,Economic Conquest,2017,Single-player,Casual;Indie;Simulation;Strategy,Simulation;Strategy;Casual,0
576370,Cubians VR,2017,Single-player,Casual;Strategy,Strategy;Casual;VR,0
576380,Adventures of Abrix,2017,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor,Casual;Indie;Strategy,Strategy;Indie;Casual,0
576390,365 Days,2019,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie;RPG;Simulation,Action;Adventure;Indie,696
576400,Elisa: the Innkeeper,2017,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Visual Novel,0
576410,Nihilist Simulator,2017,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Violent;Adventure;Casual;Indie;Simulation,Adventure;Indie;Casual,0
576420,The Curse Of Yendor,2017,Single-player,Action;Adventure;Indie;RPG;Strategy,Adventure;Indie;RPG,0
